code,date,median_salary,mean_salary,population_size,area
E09000002,12/1/2001,22323,26050,165654,barking and dagenham
E09000003,12/1/2001,20916,26068,319481,barnet
E09000004,12/1/2001,20217,23559,218757,bexley
E09000005,12/1/2001,21878,24164,269620,brent
E09000006,12/1/2001,15684,19749,296218,bromley
E09000007,12/1/2001,27386,40033,202567,camden
E09000008,12/1/2001,20889,23994,335112,croydon
E09000009,12/1/2001,23862,29516,307276,ealing
E09000010,12/1/2001,24136,27605,277266,enfield
E09000011,12/1/2001,20761,23932,217460,greenwich
E09000012,12/1/2001,24095,#,207246,hackney
E09000013,12/1/2001,26319,30968,169374,hammersmith and fulham
E09000014,12/1/2001,20349,21748,221251,haringey
E09000015,12/1/2001,22960,26650,210044,harrow
E09000016,12/1/2001,17940,20002,224717,havering
E09000017,12/1/2001,26051,30465,245616,hillingdon
E09000018,12/1/2001,22853,28795,215976,hounslow
E09000019,12/1/2001,28323,44989,179387,islington
E09000020,12/1/2001,24979,32475,162199,kensington and chelsea
